2025-06-11 15:25:40 - Face detected at X:320, Y:138, W:206, H:206
2025-06-11 15:25:41 - Face detected at X:326, Y:141, W:206, H:206
2025-06-11 15:25:41 - Face detected at X:326, Y:141, W:206, H:206
2025-06-11 15:25:41 - Face detected at X:342, Y:143, W:202, H:202
2025-06-11 15:25:41 - Face detected at X:346, Y:144, W:200, H:200
2025-06-11 15:25:41 - Face detected at X:344, Y:142, W:205, H:205
2025-06-11 15:25:41 - Face detected at X:344, Y:143, W:204, H:204
2025-06-11 15:25:41 - Face detected at X:343, Y:142, W:201, H:201
2025-06-11 15:25:41 - Face detected at X:340, Y:142, W:200, H:200
2025-06-11 15:25:41 - Face detected at X:330, Y:138, W:212, H:212
2025-06-11 15:25:41 - Face detected at X:328, Y:140, W:205, H:205
2025-06-11 15:25:41 - Face detected at X:319, Y:139, W:205, H:205
2025-06-11 15:25:41 - Face detected at X:319, Y:139, W:205, H:205
2025-06-11 15:25:41 - Face detected at X:315, Y:142, W:198, H:198
2025-06-11 15:25:41 - Face detected at X:305, Y:140, W:201, H:201
2025-06-11 15:25:41 - Face detected at X:301, Y:141, W:195, H:195
2025-06-11 15:25:41 - Face detected at X:295, Y:140, W:193, H:193
2025-06-11 15:25:41 - Face detected at X:287, Y:140, W:194, H:194
2025-06-11 15:25:41 - Face detected at X:281, Y:141, W:194, H:194
2025-06-11 15:25:41 - Face detected at X:270, Y:140, W:197, H:197
2025-06-11 15:25:41 - Face detected at X:263, Y:139, W:200, H:200
2025-06-11 15:25:41 - Face detected at X:260, Y:140, W:201, H:201
2025-06-11 15:25:41 - Face detected at X:256, Y:139, W:204, H:204
2025-06-11 15:25:41 - Face detected at X:256, Y:139, W:204, H:204
2025-06-11 15:25:41 - Face detected at X:257, Y:141, W:202, H:202
2025-06-11 15:25:41 - Face detected at X:258, Y:143, W:195, H:195
2025-06-11 15:25:41 - Face detected at X:257, Y:142, W:197, H:197
2025-06-11 15:25:41 - Face detected at X:258, Y:142, W:196, H:196
2025-06-11 15:25:41 - Face detected at X:261, Y:143, W:195, H:195
2025-06-11 15:25:42 - Face detected at X:260, Y:143, W:198, H:198
2025-06-11 15:25:42 - Face detected at X:263, Y:144, W:194, H:194
2025-06-11 15:25:42 - Face detected at X:264, Y:144, W:193, H:193
2025-06-11 15:25:42 - Face detected at X:266, Y:147, W:192, H:192
2025-06-11 15:25:42 - Face detected at X:269, Y:144, W:197, H:197
2025-06-11 15:25:42 - Face detected at X:271, Y:146, W:196, H:196
2025-06-11 15:25:42 - Face detected at X:271, Y:146, W:197, H:197
2025-06-11 15:25:42 - Face detected at X:271, Y:146, W:197, H:197
2025-06-11 15:25:42 - Face detected at X:271, Y:146, W:197, H:197
2025-06-11 15:25:42 - Face detected at X:272, Y:146, W:195, H:195
2025-06-11 15:25:42 - Face detected at X:269, Y:146, W:198, H:198
2025-06-11 15:25:42 - Face detected at X:273, Y:150, W:191, H:191
2025-06-11 15:25:42 - Face detected at X:269, Y:147, W:197, H:197
2025-06-11 15:25:42 - Face detected at X:270, Y:150, W:192, H:192
2025-06-11 15:25:42 - Face detected at X:267, Y:147, W:198, H:198
